node_name,node_type
000801009,Coulee
001302009,Coulee
001501009,Coulee
002103009,Coulee
002201009,Coulee
002801009,Coulee
002901009,Coulee
003003009,Coulee
003501009,Coulee
003802009,Coulee
004201009,Coulee
004501009,Coulee
004903009,Coulee
005202009,Coulee
005701009,Coulee
005901009,Coulee
006303009,Coulee
006603009,Coulee
007001009,Coulee
007103009,Coulee
007601009,Coulee
009302009,Coulee
009402009,Coulee
009803009,Coulee
010501009,Coulee
010703009,Coulee
011202009,Coulee
011902009,Coulee
012501009,Coulee
017601009,Coulee
018201009,Coulee
020301009,Coulee
020401009,Coulee
100618,Kit_Noyaux
100630,Kit_Noyaux
020519M6203,Pesee
020522M1,Pesee
020616M61,Pesee
020616M6301,Pesee
020620M1,Pesee
020718M1,Pesee
020718M6201,Pesee
020720M6201,Pesee
020919M1,Pesee
020919M6201,Pesee
020919M6203,Pesee
020921M1,Pesee
021019M6202,Pesee
021019M6204,Pesee
021121M1,Pesee
021122M1,Pesee
100852,Kit_Noyaux
101319,Kit_Noyaux
030418M1,Pesee
030516M61,Pesee
030516M6201,Pesee
030518M6301,Pesee
030521M1,Pesee
030619M1,Pesee
030717M1,Pesee
030717M6201,Pesee
030918M6301,Pesee
031019M6301,Pesee
031022M1,Pesee
031022M6301,Pesee
040122M6201,Pesee
040122M6301,Pesee
040220M6301,Pesee
040317M6203,Pesee
102217,Kit_Noyaux
102221,Kit_Noyaux
040919M6204,Pesee
040919M6301,Pesee
041119M1,Pesee
041121M6201,Pesee
050118M6202,Pesee
050122M6201,Pesee
050123M6301,Pesee
050320M6201,Pesee
050320M6301,Pesee
050320M6302,Pesee
050416M61,Pesee
050417M1,Pesee
050417M6301,Pesee
050619M6202,Pesee
050713M6201,Pesee
050922M1,Pesee
111802009,Coulee
112301001,Coulee
113001009,Coulee
113201009,Coulee
113902009,Coulee
114521,Kit_Noyaux
061117M1,Pesee
061117M6211,Pesee
061219M6301,Pesee
061221M1,Pesee
070120M1,Pesee
070121M6201,Pesee
070217M6301,Pesee
070220M6302,Pesee
114602009,Coulee
114817,Kit_Noyaux
115101009,Coulee
070618M6205,Pesee
070622M1,Pesee
070918M6202,Pesee
070922M1,Pesee
071019M1,Pesee
071019M6302,Pesee
071021M6201,Pesee
071122M1,Pesee
071221M6301,Pesee
115801009,Coulee
115901009,Coulee
116701009,Coulee
116803009,Coulee
117501009,Coulee
117901009,Coulee
118202009,Coulee
118601009,Coulee
118901009,Coulee
119401009,Coulee
120031009,Coulee
120202009,Coulee
120331009,Coulee
120902009,Coulee
121001009,Coulee
123802009,Coulee
125601009,Coulee
126003009,Coulee
126301009,Coulee
126601001,Coulee
127101009,Coulee
127303009,Coulee
127801009,Coulee
128003009,Coulee
128102009,Coulee
128401009,Coulee
128703009,Coulee
128802009,Coulee
129303009,Coulee
129792,Kit_Noyaux
090123M1,Pesee
090123M6201,Pesee
090316M1,Pesee
090317M6201,Pesee
090317M6202,Pesee
090317M6204,Pesee
090318M6301,Pesee
129794,Kit_Noyaux
129895,Kit_Noyaux
100122M6201,Pesee
100220M1,Pesee
100220M6201,Pesee
100316M6301,Pesee
100417M1,Pesee
100419M6201,Pesee
100516M61,Pesee
100517M1,Pesee
100517M6203,Pesee
100517M6204,Pesee
100521M6301,Pesee
100522M6301,Pesee
100918M1,Pesee
100919M6205,Pesee
100919M6301,Pesee
101022M1,Pesee
129901,Kit_Noyaux
129903,Kit_Noyaux
110618M1,Pesee
110619M1,Pesee
110619M6203,Pesee
110619M6301,Pesee
110620M6201,Pesee
110620M6301,Pesee
110718M1,Pesee
110722M1,Pesee
110919M1,Pesee
110919M6202,Pesee
110919M6301,Pesee
111019M6201,Pesee
111021M1,Pesee
111219M6201,Pesee
120122M6301,Pesee
120319M1,Pesee
129920,Kit_Noyaux
129931,Kit_Noyaux
121219M6201,Pesee
121222M1,Pesee
130120M1,Pesee
130217M1,Pesee
130220M6201,Pesee
130317M1,Pesee
130317M6201,Pesee
130317M6301,Pesee
130416M1,Pesee
130417M6202,Pesee
130417M6203,Pesee
130519M1,Pesee
130622M1,Pesee
130622M6201,Pesee
130721M1,Pesee
130921M6301,Pesee
129978,Kit_Noyaux
129979,Kit_Noyaux
140322M6201,Pesee
140416M61,Pesee
140420M1,Pesee
140518M1,Pesee
140617M1,Pesee
140621M1,Pesee
140921M6201,Pesee
140922M6201,Pesee
141019M1,Pesee
141019M6201,Pesee
141019M6301,Pesee
141022M6301,Pesee
141122M1,Pesee
141122M6301,Pesee
141217M6203,Pesee
150222M6201,Pesee
129982,Kit_Noyaux
160320M1,Pesee
160419M6302,Pesee
160518M6201,Pesee
160518M6202,Pesee
160519M6204,Pesee
160522M1,Pesee
160617M6201,Pesee
160617M6202,Pesee
160721M6301,Pesee
160919M1,Pesee
160921M1,Pesee
160921M6201,Pesee
161219M1,Pesee
170117M6202,Pesee
170122M1,Pesee
170123M6201,Pesee
129986,Kit_Noyaux
130001009,Coulee
130029,Kit_Noyaux
170521M6301,Pesee
170619M1,Pesee
170619M6201,Pesee
170719M6203,Pesee
170919M6201,Pesee
171017M6201,Pesee
171019M6201,Pesee
171022M1,Pesee
171114M6201,Pesee
171121M1,Pesee
180122M6201,Pesee
180123M6201,Pesee
130031,Kit_Noyaux
130040,Kit_Noyaux
181017M6301,Pesee
181021M6301,Pesee
181119M1,Pesee
181121M6201,Pesee
181219M6302,Pesee
190117M6301,Pesee
190220M6205,Pesee
190416M1,Pesee
190417M1,Pesee
190417M6205,Pesee
190419M6201,Pesee
190421M1,Pesee
190422M1,Pesee
190516M61,Pesee
190617M1,Pesee
190717M1,Pesee
130070,Kit_Noyaux
200622M1,Pesee
200721M1,Pesee
201221M1,Pesee
201222M6301,Pesee
210217M6201,Pesee
210217M6202,Pesee
210217M6203,Pesee
210222M1,Pesee
210222M6201,Pesee
210316M1,Pesee
210322M1,Pesee
210322M6201,Pesee
210322M6202,Pesee
210322M6203,Pesee
210416M1,Pesee
210416M61,Pesee
130072,Kit_Noyaux
130073,Kit_Noyaux
220218M6204,Pesee
220222M6201,Pesee
220317M1,Pesee
220317M6202,Pesee
220317M6204,Pesee
220317M6207,Pesee
220416M61,Pesee
220421M6201,Pesee
220421M6301,Pesee
220517M1,Pesee
220517M6201,Pesee
220517M6301,Pesee
220617M6209,Pesee
220617M6301,Pesee
220618M6202,Pesee
220719M6201,Pesee
130101009,Coulee
130104,Kit_Noyaux
130152,Kit_Noyaux
230919M1,Pesee
230922M6201,Pesee
231121M6201,Pesee
231122M6301,Pesee
240122M1,Pesee
240122M6301,Pesee
240217M6301,Pesee
240220M1,Pesee
240322M6301,Pesee
240417M1,Pesee
240516M6301,Pesee
240613M6201,Pesee
130153,Kit_Noyaux
250419M6206,Pesee
250422M1,Pesee
250422M6201,Pesee
250426M1,Pesee
250516M61,Pesee
250521M1,Pesee
250717M6201,Pesee
250722M1,Pesee
250917M6302,Pesee
251017M1,Pesee
251119M1,Pesee
260220M6201,Pesee
